bevType,miles
other,300
audi_e_tron,250
audi_e_tron_gt,250
audi_q4_e_tron,350
audi_q5_e_tron,50
bmw_i3,150
bmw_i4,300
bmw_i8,330
bmw_ix,300
bmw_ix3,300
bmw_x5_xdrive45e,50
chevrolet_bolt_ev,250
chevrolet_bolt_euv,300
ford_mustang_mach_e,300
ford_f_150_lightning,350
hyundai_ioniq_5,300
hyundai_ioniq_electric,200
hyundai_ioniq_plugin,50
hyundai_kona_electric,250
hyundai_tucson_plugin,50
jaguar_i_pace,300
kia_niro_ev,250
kia_seltos_electric,250
kia_soul_ev,250
lucid_air,500
mercedes_benz_eqa,350
mercedes_benz_eqb,250
mercedes_benz_eqc,300
mercedes_benz_eqs,500
mercedes_benz_glc_350e_4matic,50
nissan_ariya,300
nissan_leaf,250
porsche_taycan,300
porsche_cayenne_e_hybrid,50
porsche_panamera_e_hybrid,50
rivian_r1s,400
rivian_r1t,400
tesla_model_3,350
tesla_model_s,400
tesla_model_x,350
tesla_model_y,300
volkswagen_id_4,250
volkswagen_id_buzz,250
volvo_xc40_recharge,200
volvo_xc60_recharge,50
volvo_xc90_recharge,50